player_name,raid_name,boss_name,raid_difficulty,total_pulls
mægisk,liberation of undermine,stix bunkjunker,mythic,112
ashyminge,liberation of undermine,rik reverb,heroic,5
thamoose,liberation of undermine,one-armed bandit,heroic,2
monsterdruid,liberation of undermine,"mug'zee, heads of security",mythic,6
gici,liberation of undermine,stix bunkjunker,mythic,11
willowwisp,liberation of undermine,"mug'zee, heads of security",heroic,38
bensmonk,liberation of undermine,stix bunkjunker,heroic,1
маамен,liberation of undermine,chrome king gallywix,heroic,2
irhuntar,liberation of undermine,"mug'zee, heads of security",mythic,6
thamoose,liberation of undermine,"mug'zee, heads of security",heroic,2
yevie,liberation of undermine,one-armed bandit,heroic,10
lenus,liberation of undermine,"mug'zee, heads of security",heroic,40
apocryphâ,liberation of undermine,stix bunkjunker,mythic,11
gnomerouge,liberation of undermine,"mug'zee, heads of security",heroic,1
pattern,liberation of undermine,one-armed bandit,heroic,4
clawzx,liberation of undermine,sprocketmonger lockenstock,mythic,22
fortythree,liberation of undermine,sprocketmonger lockenstock,mythic,22
cripz,liberation of undermine,"mug'zee, heads of security",mythic,6
asenae,liberation of undermine,chrome king gallywix,heroic,3
alcina,liberation of undermine,rik reverb,mythic,4
gordog,liberation of undermine,stix bunkjunker,mythic,11
yashopal,liberation of undermine,cauldron of carnage,mythic,4
shyndryl,liberation of undermine,"mug'zee, heads of security",mythic,54
krepowl,liberation of undermine,"mug'zee, heads of security",heroic,1
krepowl,liberation of undermine,cauldron of carnage,mythic,2
asenae,liberation of undermine,vexie and the geargrinders,heroic,1
roropriest,liberation of undermine,"mug'zee, heads of security",heroic,26
boffel,liberation of undermine,"mug'zee, heads of security",mythic,54
enarya,liberation of undermine,"mug'zee, heads of security",heroic,1
televisions,liberation of undermine,stix bunkjunker,heroic,3
thamoose,liberation of undermine,vexie and the geargrinders,heroic,2
anastase,liberation of undermine,vexie and the geargrinders,heroic,2
gici,liberation of undermine,chrome king gallywix,heroic,1
brickyd,liberation of undermine,chrome king gallywix,mythic,296
larssonadin,liberation of undermine,"mug'zee, heads of security",heroic,20
evereld,liberation of undermine,"mug'zee, heads of security",mythic,230
mægisk,liberation of undermine,rik reverb,heroic,5
bpd,liberation of undermine,rik reverb,mythic,51
piperalpha,liberation of undermine,sprocketmonger lockenstock,mythic,52
purovolitis,liberation of undermine,"mug'zee, heads of security",mythic,50
hungbelf,liberation of undermine,vexie and the geargrinders,heroic,1
mirmilitz,liberation of undermine,one-armed bandit,heroic,2
vakkith,liberation of undermine,"mug'zee, heads of security",mythic,54
olavets,liberation of undermine,sprocketmonger lockenstock,heroic,2
swannie,liberation of undermine,sprocketmonger lockenstock,heroic,5
swannie,liberation of undermine,"mug'zee, heads of security",heroic,26
lekkepries,liberation of undermine,chrome king gallywix,heroic,2
slaybelle,liberation of undermine,chrome king gallywix,heroic,4
bensbear,liberation of undermine,one-armed bandit,heroic,7
shadowxmorn,liberation of undermine,stix bunkjunker,mythic,11
periodpain,liberation of undermine,rik reverb,heroic,1
periodpain,liberation of undermine,vexie and the geargrinders,mythic,2
vitiblast,liberation of undermine,vexie and the geargrinders,heroic,1
mâiâr,liberation of undermine,sprocketmonger lockenstock,mythic,22
hesoyâm,liberation of undermine,"mug'zee, heads of security",heroic,2
enjiie,liberation of undermine,vexie and the geargrinders,mythic,18
willowwisp,liberation of undermine,"mug'zee, heads of security",mythic,290
mäciucarul,liberation of undermine,cauldron of carnage,mythic,8
isorsressl,liberation of undermine,one-armed bandit,heroic,2
gråphic,liberation of undermine,one-armed bandit,heroic,1
mignottàuren,liberation of undermine,chrome king gallywix,heroic,2
asenae,liberation of undermine,vexie and the geargrinders,mythic,2
oceanblvd,liberation of undermine,one-armed bandit,heroic,1
bergmanlover,liberation of undermine,vexie and the geargrinders,heroic,1
neutralized,liberation of undermine,stix bunkjunker,mythic,11
hungbelf,liberation of undermine,sprocketmonger lockenstock,heroic,1
mægisk,liberation of undermine,vexie and the geargrinders,heroic,21
magicwingers,liberation of undermine,"mug'zee, heads of security",mythic,402
apocryphâ,liberation of undermine,vexie and the geargrinders,heroic,1
maddisonsian,liberation of undermine,cauldron of carnage,mythic,4
vitiblast,liberation of undermine,"mug'zee, heads of security",heroic,1
dimono,liberation of undermine,rik reverb,mythic,9
smonkste,liberation of undermine,cauldron of carnage,heroic,2
daechirpen,liberation of undermine,"mug'zee, heads of security",mythic,6
emypriest,liberation of undermine,one-armed bandit,heroic,2
rayook,liberation of undermine,one-armed bandit,mythic,48
sassaki,liberation of undermine,"mug'zee, heads of security",heroic,2
ollieyay,liberation of undermine,stix bunkjunker,mythic,70
enjiie,liberation of undermine,rik reverb,mythic,55
yearning,liberation of undermine,"mug'zee, heads of security",mythic,352
herjaul,liberation of undermine,rik reverb,mythic,6
willowwisp,liberation of undermine,stix bunkjunker,heroic,3
turbohot,liberation of undermine,stix bunkjunker,mythic,112
monstercow,liberation of undermine,"mug'zee, heads of security",heroic,2
jumzo,liberation of undermine,one-armed bandit,heroic,27
cutefist,liberation of undermine,vexie and the geargrinders,heroic,16
yearning,liberation of undermine,one-armed bandit,mythic,172
turbohot,liberation of undermine,cauldron of carnage,heroic,3
dangermouse,liberation of undermine,cauldron of carnage,mythic,1
yeviel,liberation of undermine,vexie and the geargrinders,heroic,12
dangermouse,liberation of undermine,one-armed bandit,heroic,2
incila,liberation of undermine,"mug'zee, heads of security",heroic,1
drelord,liberation of undermine,"mug'zee, heads of security",heroic,12
explorer,liberation of undermine,one-armed bandit,heroic,28
yevie,liberation of undermine,vexie and the geargrinders,heroic,1
larssonoker,liberation of undermine,chrome king gallywix,heroic,3
bigboiples,liberation of undermine,vexie and the geargrinders,mythic,21
bpd,liberation of undermine,cauldron of carnage,mythic,37
pepista,liberation of undermine,vexie and the geargrinders,heroic,2
furioshar,liberation of undermine,"mug'zee, heads of security",heroic,2
deadonkillz,liberation of undermine,"mug'zee, heads of security",heroic,2
ollieyay,liberation of undermine,cauldron of carnage,heroic,3
bigboiples,liberation of undermine,sprocketmonger lockenstock,heroic,6
spinningyiff,liberation of undermine,vexie and the geargrinders,heroic,1
hoppsy,liberation of undermine,"mug'zee, heads of security",heroic,1
shrews,liberation of undermine,"mug'zee, heads of security",mythic,54
willowwisp,liberation of undermine,rik reverb,mythic,45
yevie,liberation of undermine,cauldron of carnage,mythic,17
smonkste,liberation of undermine,"mug'zee, heads of security",heroic,6
rundervink,liberation of undermine,rik reverb,heroic,1
cherven,liberation of undermine,rik reverb,mythic,25
enjiie,liberation of undermine,chrome king gallywix,heroic,45
explorer,liberation of undermine,rik reverb,mythic,57
bramblebeef,liberation of undermine,"mug'zee, heads of security",mythic,6
xbehindyouxd,liberation of undermine,"mug'zee, heads of security",mythic,6
lekkepries,liberation of undermine,vexie and the geargrinders,heroic,2
neutralized,liberation of undermine,chrome king gallywix,heroic,3
lehvin,liberation of undermine,cauldron of carnage,mythic,1
evereld,liberation of undermine,vexie and the geargrinders,heroic,18
benshammy,liberation of undermine,vexie and the geargrinders,mythic,3
monstercow,liberation of undermine,cauldron of carnage,mythic,2
kranar,liberation of undermine,one-armed bandit,heroic,2
url,liberation of undermine,"mug'zee, heads of security",mythic,6
yearning,liberation of undermine,stix bunkjunker,heroic,3
wanchan,liberation of undermine,stix bunkjunker,mythic,112
draezsham,liberation of undermine,vexie and the geargrinders,heroic,2
ketapret,liberation of undermine,"mug'zee, heads of security",mythic,50
parababasii,liberation of undermine,chrome king gallywix,heroic,4
hungbelf,liberation of undermine,cauldron of carnage,mythic,4
lehvin,liberation of undermine,vexie and the geargrinders,mythic,1
маамен,liberation of undermine,"mug'zee, heads of security",mythic,50
jumzo,liberation of undermine,chrome king gallywix,mythic,296
alexmae,liberation of undermine,"mug'zee, heads of security",heroic,2
iustitiæ,liberation of undermine,rik reverb,heroic,5
cutefist,liberation of undermine,sprocketmonger lockenstock,heroic,6
amnotgoblin,liberation of undermine,one-armed bandit,heroic,2
kranar,liberation of undermine,vexie and the geargrinders,heroic,1
slaybelle,liberation of undermine,stix bunkjunker,mythic,9
furioshar,liberation of undermine,one-armed bandit,mythic,48
smonkste,liberation of undermine,vexie and the geargrinders,heroic,2
cherven,liberation of undermine,cauldron of carnage,mythic,10
delvur,liberation of undermine,"mug'zee, heads of security",mythic,180
frenzyy,liberation of undermine,stix bunkjunker,mythic,13
bensmonk,liberation of undermine,cauldron of carnage,heroic,1
coreydlr,liberation of undermine,rik reverb,mythic,2
atomvoker,liberation of undermine,vexie and the geargrinders,heroic,1
lenus,liberation of undermine,chrome king gallywix,mythic,296
rabïd,liberation of undermine,vexie and the geargrinders,heroic,4
iustitiæ,liberation of undermine,one-armed bandit,heroic,26
louxoxo,liberation of undermine,"mug'zee, heads of security",mythic,6
bensbear,liberation of undermine,vexie and the geargrinders,heroic,8
alcina,liberation of undermine,stix bunkjunker,mythic,9
furiamonk,liberation of undermine,vexie and the geargrinders,mythic,6
ollieyay,liberation of undermine,stix bunkjunker,heroic,3
yevie,liberation of undermine,"mug'zee, heads of security",heroic,20
rilot,liberation of undermine,chrome king gallywix,heroic,2
enarya,liberation of undermine,stix bunkjunker,mythic,9
gråphic,liberation of undermine,vexie and the geargrinders,mythic,3
jordanpriest,liberation of undermine,one-armed bandit,heroic,2
enjiie,liberation of undermine,vexie and the geargrinders,heroic,20
willowwisp,liberation of undermine,vexie and the geargrinders,mythic,19
furioshar,liberation of undermine,vexie and the geargrinders,heroic,2
neutralized,liberation of undermine,"mug'zee, heads of security",heroic,3
cutefist,liberation of undermine,"mug'zee, heads of security",heroic,37
nahuêl,liberation of undermine,"mug'zee, heads of security",heroic,2
grimgriper,liberation of undermine,one-armed bandit,heroic,2
yaavi,liberation of undermine,one-armed bandit,heroic,2
dankdemonh,liberation of undermine,chrome king gallywix,heroic,2
torrak,liberation of undermine,"mug'zee, heads of security",mythic,6
furiamonk,liberation of undermine,"mug'zee, heads of security",heroic,6
sinrrjj,liberation of undermine,"mug'zee, heads of security",heroic,1
turbohot,liberation of undermine,rik reverb,mythic,57
tapole,liberation of undermine,"mug'zee, heads of security",heroic,12
dil,liberation of undermine,sprocketmonger lockenstock,mythic,52
legoman,liberation of undermine,"mug'zee, heads of security",mythic,50
henle,liberation of undermine,vexie and the geargrinders,mythic,1
bpd,liberation of undermine,vexie and the geargrinders,heroic,9
dimono,liberation of undermine,vexie and the geargrinders,heroic,1
cutefist,liberation of undermine,chrome king gallywix,heroic,38
budgetgoku,liberation of undermine,chrome king gallywix,heroic,39
lenus,liberation of undermine,rik reverb,heroic,5
profesorpapi,liberation of undermine,"mug'zee, heads of security",heroic,2
vinewhip,liberation of undermine,vexie and the geargrinders,mythic,3
bensbear,liberation of undermine,sprocketmonger lockenstock,mythic,101
ashyminge,liberation of undermine,rik reverb,mythic,57
aivfive,liberation of undermine,vexie and the geargrinders,heroic,2
lenus,liberation of undermine,cauldron of carnage,heroic,3
mægisk,liberation of undermine,"mug'zee, heads of security",mythic,402
roropriest,liberation of undermine,vexie and the geargrinders,mythic,6
yeviel,liberation of undermine,chrome king gallywix,mythic,296
furiamonk,liberation of undermine,stix bunkjunker,heroic,2
gici,liberation of undermine,one-armed bandit,heroic,1
cherven,liberation of undermine,stix bunkjunker,mythic,112
tk,liberation of undermine,"mug'zee, heads of security",heroic,2
lehvin,liberation of undermine,vexie and the geargrinders,heroic,1
hobbyalkis,liberation of undermine,vexie and the geargrinders,heroic,19
evereld,liberation of undermine,vexie and the geargrinders,mythic,10
rizzleton,liberation of undermine,cauldron of carnage,heroic,3
koriekin,liberation of undermine,one-armed bandit,heroic,8
vitiblast,liberation of undermine,rik reverb,heroic,1
enjiie,liberation of undermine,chrome king gallywix,mythic,296
synrae,liberation of undermine,one-armed bandit,mythic,48
gici,liberation of undermine,vexie and the geargrinders,heroic,1
mâiâr,liberation of undermine,one-armed bandit,heroic,2
cutefist,liberation of undermine,one-armed bandit,heroic,23
yeviel,liberation of undermine,chrome king gallywix,heroic,29
hobbyalkis,liberation of undermine,vexie and the geargrinders,mythic,16
synrae,liberation of undermine,one-armed bandit,heroic,2
iustitiæ,liberation of undermine,stix bunkjunker,mythic,112
cherven,liberation of undermine,chrome king gallywix,heroic,14
turbohot,liberation of undermine,"mug'zee, heads of security",heroic,42
maddisonsian,liberation of undermine,"mug'zee, heads of security",heroic,1
bpd,liberation of undermine,rik reverb,heroic,5
pattern,liberation of undermine,"mug'zee, heads of security",heroic,4
apocryphâ,liberation of undermine,vexie and the geargrinders,mythic,3
swannie,liberation of undermine,cauldron of carnage,heroic,3
neutralized,liberation of undermine,one-armed bandit,heroic,3
babajoness,liberation of undermine,sprocketmonger lockenstock,mythic,52
spinningyiff,liberation of undermine,one-armed bandit,heroic,2
maddisonsian,liberation of undermine,vexie and the geargrinders,mythic,2
jumzo,liberation of undermine,"mug'zee, heads of security",heroic,41
bakatoxo,liberation of undermine,vexie and the geargrinders,heroic,1
neutralized,liberation of undermine,cauldron of carnage,mythic,2
rzoc,liberation of undermine,cauldron of carnage,mythic,2
bamoo,liberation of undermine,"mug'zee, heads of security",heroic,20
yashopal,liberation of undermine,rik reverb,mythic,9
bergmanlover,liberation of undermine,stix bunkjunker,mythic,11
cherven,liberation of undermine,sprocketmonger lockenstock,mythic,245
explorer,liberation of undermine,sprocketmonger lockenstock,mythic,245
mashin,liberation of undermine,vexie and the geargrinders,mythic,2
snorrelax,liberation of undermine,cauldron of carnage,mythic,1
gordog,liberation of undermine,cauldron of carnage,mythic,2
yeviel,liberation of undermine,cauldron of carnage,heroic,2
larssonadin,liberation of undermine,chrome king gallywix,heroic,7
hobbyalkis,liberation of undermine,"mug'zee, heads of security",heroic,40
enjiie,liberation of undermine,rik reverb,heroic,5
koriekin,liberation of undermine,chrome king gallywix,heroic,8
tikerr,liberation of undermine,vexie and the geargrinders,heroic,4
atomvoker,liberation of undermine,rik reverb,mythic,4
wanchan,liberation of undermine,"mug'zee, heads of security",heroic,42
wanchan,liberation of undermine,vexie and the geargrinders,mythic,21
heliuos,liberation of undermine,cauldron of carnage,mythic,8
irîs,liberation of undermine,chrome king gallywix,heroic,4
anastase,liberation of undermine,"mug'zee, heads of security",heroic,2
zonnetjes,liberation of undermine,sprocketmonger lockenstock,mythic,52
parababasii,liberation of undermine,rik reverb,mythic,4
iustitiæ,liberation of undermine,cauldron of carnage,mythic,39
hobbyalkis,liberation of undermine,rik reverb,heroic,4
vengaboysfan,liberation of undermine,"mug'zee, heads of security",heroic,1
ashyminge,liberation of undermine,"mug'zee, heads of security",mythic,402
incila,liberation of undermine,cauldron of carnage,mythic,1
mêoow,liberation of undermine,rik reverb,heroic,1
mashin,liberation of undermine,vexie and the geargrinders,heroic,2
willowwisp,liberation of undermine,sprocketmonger lockenstock,heroic,6
sassaki,liberation of undermine,"mug'zee, heads of security",mythic,50
dangermouse,liberation of undermine,chrome king gallywix,heroic,1
slaybelle,liberation of undermine,one-armed bandit,heroic,1
rohzak,liberation of undermine,"mug'zee, heads of security",mythic,6
wanchan,liberation of undermine,chrome king gallywix,heroic,46
budgetgoku,liberation of undermine,sprocketmonger lockenstock,heroic,6
jumzo,liberation of undermine,stix bunkjunker,heroic,3
yashopal,liberation of undermine,vexie and the geargrinders,heroic,1
attentive,liberation of undermine,chrome king gallywix,heroic,4
wärhok,liberation of undermine,vexie and the geargrinders,heroic,2
isorsressl,liberation of undermine,"mug'zee, heads of security",heroic,2
retomegalul,liberation of undermine,chrome king gallywix,heroic,2
bigboiples,liberation of undermine,rik reverb,mythic,57
meleron,liberation of undermine,sprocketmonger lockenstock,mythic,52
rizzleton,liberation of undermine,stix bunkjunker,heroic,3
vinewhip,liberation of undermine,vexie and the geargrinders,heroic,1
jumzo,liberation of undermine,sprocketmonger lockenstock,heroic,6
pepista,liberation of undermine,"mug'zee, heads of security",heroic,2
gråphic,liberation of undermine,"mug'zee, heads of security",heroic,1
pattern,liberation of undermine,"mug'zee, heads of security",mythic,402
lightpoluted,liberation of undermine,"mug'zee, heads of security",mythic,6
naomivoke,liberation of undermine,sprocketmonger lockenstock,mythic,22
purovolitis,liberation of undermine,vexie and the geargrinders,heroic,2
thamoose,liberation of undermine,"mug'zee, heads of security",mythic,50
furiamonk,liberation of undermine,one-armed bandit,heroic,2
koriekin,liberation of undermine,one-armed bandit,mythic,172
cutefist,liberation of undermine,stix bunkjunker,mythic,103
monstercow,liberation of undermine,rik reverb,mythic,6
mægisk,liberation of undermine,sprocketmonger lockenstock,mythic,245
lehvin,liberation of undermine,rik reverb,mythic,4
wanchan,liberation of undermine,cauldron of carnage,heroic,3
atomvoker,liberation of undermine,chrome king gallywix,heroic,4
benshammy,liberation of undermine,cauldron of carnage,mythic,2
atomvoker,liberation of undermine,vexie and the geargrinders,mythic,1
lenus,liberation of undermine,"mug'zee, heads of security",mythic,402
magicwingers,liberation of undermine,chrome king gallywix,mythic,296
televisions,liberation of undermine,rik reverb,mythic,57
periodpain,liberation of undermine,vexie and the geargrinders,heroic,1
benshammy,liberation of undermine,one-armed bandit,heroic,2
rzoc,liberation of undermine,vexie and the geargrinders,mythic,3
benshammy,liberation of undermine,sprocketmonger lockenstock,heroic,1
cherven,liberation of undermine,one-armed bandit,heroic,10
cinnamonn,liberation of undermine,"mug'zee, heads of security",mythic,6
snorrelax,liberation of undermine,chrome king gallywix,heroic,4
drelord,liberation of undermine,sprocketmonger lockenstock,heroic,2
hobbyalkis,liberation of undermine,"mug'zee, heads of security",mythic,402
garajamal,liberation of undermine,one-armed bandit,heroic,2
bensbear,liberation of undermine,"mug'zee, heads of security",heroic,6
rizzleton,liberation of undermine,sprocketmonger lockenstock,mythic,245
wanchan,liberation of undermine,cauldron of carnage,mythic,39
pepista,liberation of undermine,one-armed bandit,heroic,2
vengaboysfan,liberation of undermine,vexie and the geargrinders,heroic,1
bigboiples,liberation of undermine,cauldron of carnage,heroic,3
draezsham,liberation of undermine,"mug'zee, heads of security",mythic,50
rilot,liberation of undermine,"mug'zee, heads of security",mythic,50
bigboiples,liberation of undermine,chrome king gallywix,mythic,296
bpd,liberation of undermine,chrome king gallywix,heroic,36
mäciucarul,liberation of undermine,rik reverb,mythic,23
gråphic,liberation of undermine,rik reverb,mythic,2
pattern,liberation of undermine,vexie and the geargrinders,heroic,4
yeviel,liberation of undermine,vexie and the geargrinders,mythic,12
isorsressl,liberation of undermine,vexie and the geargrinders,heroic,2
turbohot,liberation of undermine,chrome king gallywix,heroic,46
thornic,liberation of undermine,chrome king gallywix,heroic,2
boopykid,liberation of undermine,chrome king gallywix,mythic,60
ollieyay,liberation of undermine,"mug'zee, heads of security",heroic,33
alexmae,liberation of undermine,stix bunkjunker,mythic,26
lenus,liberation of undermine,chrome king gallywix,heroic,44
bensmonk,liberation of undermine,vexie and the geargrinders,heroic,1
apocryphâ,liberation of undermine,cauldron of carnage,mythic,2
lobster,liberation of undermine,vexie and the geargrinders,heroic,1
bpd,liberation of undermine,sprocketmonger lockenstock,heroic,6
televisions,liberation of undermine,vexie and the geargrinders,heroic,21
yearning,liberation of undermine,one-armed bandit,heroic,21
laesio,liberation of undermine,"mug'zee, heads of security",mythic,6
smonkste,liberation of undermine,stix bunkjunker,heroic,2
hungbelf,liberation of undermine,vexie and the geargrinders,mythic,2
sassaki,liberation of undermine,chrome king gallywix,heroic,2
frenzyy,liberation of undermine,"mug'zee, heads of security",heroic,2
enarya,liberation of undermine,rik reverb,mythic,4
fraumüller,liberation of undermine,sprocketmonger lockenstock,heroic,2
budgetgoku,liberation of undermine,vexie and the geargrinders,heroic,15
isorsressl,liberation of undermine,"mug'zee, heads of security",mythic,50
unrecorded,liberation of undermine,rik reverb,mythic,22
cutefist,liberation of undermine,vexie and the geargrinders,mythic,20
monstercow,liberation of undermine,stix bunkjunker,mythic,26
fortythree,liberation of undermine,chrome king gallywix,heroic,2
slaybelle,liberation of undermine,rik reverb,mythic,4
garajamal,liberation of undermine,vexie and the geargrinders,heroic,2
wanchan,liberation of undermine,"mug'zee, heads of security",mythic,340
drelord,liberation of undermine,one-armed bandit,heroic,9
vitiblast,liberation of undermine,chrome king gallywix,heroic,3
atomvoker,liberation of undermine,one-armed bandit,heroic,1
koriekin,liberation of undermine,vexie and the geargrinders,heroic,10
chouafa,liberation of undermine,"mug'zee, heads of security",heroic,1
eeiv,liberation of undermine,"mug'zee, heads of security",mythic,6
yeviel,liberation of undermine,"mug'zee, heads of security",heroic,14
deadonkillz,liberation of undermine,one-armed bandit,heroic,2
evereld,liberation of undermine,cauldron of carnage,mythic,14
bigboiples,liberation of undermine,"mug'zee, heads of security",mythic,352
explorer,liberation of undermine,"mug'zee, heads of security",mythic,222
larssonoker,liberation of undermine,cauldron of carnage,mythic,4
retomegalul,liberation of undermine,vexie and the geargrinders,heroic,2
bamoo,liberation of undermine,one-armed bandit,heroic,10
vitiblast,liberation of undermine,vexie and the geargrinders,mythic,2
bpd,liberation of undermine,vexie and the geargrinders,mythic,19
oceanblvd,liberation of undermine,"mug'zee, heads of security",heroic,1
guolldan,liberation of undermine,vexie and the geargrinders,heroic,1
evereld,liberation of undermine,sprocketmonger lockenstock,heroic,1
willowwisp,liberation of undermine,sprocketmonger lockenstock,mythic,211
thornic,liberation of undermine,one-armed bandit,mythic,48
dangermouse,liberation of undermine,"mug'zee, heads of security",heroic,1
draezsham,liberation of undermine,chrome king gallywix,heroic,2
bigboiples,liberation of undermine,cauldron of carnage,mythic,39
magicwingers,liberation of undermine,one-armed bandit,heroic,28
magicwingers,liberation of undermine,chrome king gallywix,heroic,46
lehvin,liberation of undermine,chrome king gallywix,heroic,4
swannie,liberation of undermine,chrome king gallywix,heroic,23
evereld,liberation of undermine,chrome king gallywix,heroic,23
cutefist,liberation of undermine,stix bunkjunker,heroic,3
wanchan,liberation of undermine,stix bunkjunker,heroic,3
dimono,liberation of undermine,"mug'zee, heads of security",heroic,1
yearning,liberation of undermine,rik reverb,mythic,48
alcina,liberation of undermine,chrome king gallywix,heroic,4
rzoc,liberation of undermine,"mug'zee, heads of security",heroic,1
larssonoker,liberation of undermine,vexie and the geargrinders,heroic,1
neutralized,liberation of undermine,vexie and the geargrinders,heroic,3
irîs,liberation of undermine,cauldron of carnage,mythic,1
sillyguy,liberation of undermine,vexie and the geargrinders,mythic,2
parababasii,liberation of undermine,cauldron of carnage,mythic,1
aiust,liberation of undermine,"mug'zee, heads of security",mythic,54
gråphic,liberation of undermine,cauldron of carnage,mythic,2
hoppsy,liberation of undermine,vexie and the geargrinders,mythic,1
sillyguy,liberation of undermine,"mug'zee, heads of security",heroic,1
rizzleton,liberation of undermine,cauldron of carnage,mythic,39
monstercow,liberation of undermine,one-armed bandit,heroic,2
jordanpriest,liberation of undermine,chrome king gallywix,heroic,2
lekkepries,liberation of undermine,one-armed bandit,heroic,2
larssonadin,liberation of undermine,sprocketmonger lockenstock,heroic,3
magicwingers,liberation of undermine,stix bunkjunker,mythic,112
vulpìíx,liberation of undermine,"mug'zee, heads of security",mythic,6
naomivoke,liberation of undermine,chrome king gallywix,heroic,3
unrecorded,liberation of undermine,cauldron of carnage,mythic,7
lobster,liberation of undermine,"mug'zee, heads of security",heroic,1
attentive,liberation of undermine,cauldron of carnage,mythic,4
yearning,liberation of undermine,rik reverb,heroic,5
turbohot,liberation of undermine,stix bunkjunker,heroic,3
dimono,liberation of undermine,cauldron of carnage,mythic,4
willowwisp,liberation of undermine,chrome king gallywix,mythic,296
amnotgoblin,liberation of undermine,vexie and the geargrinders,heroic,2
gici,liberation of undermine,rik reverb,mythic,2
attentive,liberation of undermine,one-armed bandit,heroic,2
khalekherse,liberation of undermine,"mug'zee, heads of security",mythic,50
herjaul,liberation of undermine,stix bunkjunker,mythic,26
yeviel,liberation of undermine,stix bunkjunker,heroic,2
attentive,liberation of undermine,vexie and the geargrinders,heroic,2
devasjation,liberation of undermine,chrome king gallywix,heroic,1
lenus,liberation of undermine,stix bunkjunker,mythic,112
ollieyay,liberation of undermine,rik reverb,mythic,55
cutefist,liberation of undermine,rik reverb,mythic,53
oberoni,liberation of undermine,chrome king gallywix,heroic,1
monstercow,liberation of undermine,vexie and the geargrinders,mythic,2
yaavi,liberation of undermine,vexie and the geargrinders,heroic,1
lehti,liberation of undermine,"mug'zee, heads of security",mythic,6
bergmanlover,liberation of undermine,chrome king gallywix,heroic,1
yearning,liberation of undermine,vexie and the geargrinders,mythic,16
magicwingers,liberation of undermine,rik reverb,mythic,57
televisions,liberation of undermine,chrome king gallywix,mythic,296
bensbear,liberation of undermine,chrome king gallywix,heroic,11
budgetgoku,liberation of undermine,cauldron of carnage,heroic,3
rizzleton,liberation of undermine,rik reverb,heroic,5
grimgriper,liberation of undermine,vexie and the geargrinders,heroic,2
hesoyâm,liberation of undermine,one-armed bandit,heroic,2
slaybelle,liberation of undermine,vexie and the geargrinders,heroic,1
cutefist,liberation of undermine,"mug'zee, heads of security",mythic,168
rundervink,liberation of undermine,chrome king gallywix,heroic,3
ashyminge,liberation of undermine,cauldron of carnage,mythic,38
irni,liberation of undermine,"mug'zee, heads of security",heroic,2
irîs,liberation of undermine,vexie and the geargrinders,heroic,1
shanaiya,liberation of undermine,chrome king gallywix,heroic,3
asenae,liberation of undermine,sprocketmonger lockenstock,heroic,1
furiamonk,liberation of undermine,rik reverb,heroic,2
frenzyy,liberation of undermine,one-armed bandit,heroic,2
rilot,liberation of undermine,one-armed bandit,heroic,2
vulgrím,liberation of undermine,"mug'zee, heads of security",mythic,6
televisions,liberation of undermine,stix bunkjunker,mythic,112
roropriest,liberation of undermine,vexie and the geargrinders,heroic,3
frenzyy,liberation of undermine,chrome king gallywix,heroic,4
sinrrjj,liberation of undermine,cauldron of carnage,mythic,1
oceanblvd,liberation of undermine,vexie and the geargrinders,mythic,3
маамен,liberation of undermine,one-armed bandit,heroic,2
explorer,liberation of undermine,cauldron of carnage,heroic,3
thebigstone,liberation of undermine,chrome king gallywix,heroic,2
jumzo,liberation of undermine,vexie and the geargrinders,heroic,20
mignottàuren,liberation of undermine,vexie and the geargrinders,heroic,4
chouafa,liberation of undermine,vexie and the geargrinders,mythic,2
hobbyalkis,liberation of undermine,stix bunkjunker,heroic,3
maddisonsian,liberation of undermine,sprocketmonger lockenstock,heroic,1
benshammy,liberation of undermine,stix bunkjunker,heroic,1
finiarell,liberation of undermine,"mug'zee, heads of security",mythic,6
ashyminge,liberation of undermine,stix bunkjunker,mythic,112
mâiâr,liberation of undermine,vexie and the geargrinders,heroic,4
lehvin,liberation of undermine,stix bunkjunker,mythic,9
bpd,liberation of undermine,one-armed bandit,heroic,18
garajamal,liberation of undermine,chrome king gallywix,heroic,2
mægisk,liberation of undermine,one-armed bandit,heroic,28
krepowl,liberation of undermine,stix bunkjunker,mythic,11
mêoow,liberation of undermine,sprocketmonger lockenstock,heroic,1
kalowar,liberation of undermine,vexie and the geargrinders,heroic,1
rizzleton,liberation of undermine,vexie and the geargrinders,mythic,21
rundervink,liberation of undermine,sprocketmonger lockenstock,heroic,1
retomegalul,liberation of undermine,"mug'zee, heads of security",mythic,50
stwrithe,liberation of undermine,one-armed bandit,heroic,4
hobbyalkis,liberation of undermine,one-armed bandit,mythic,172
irîs,liberation of undermine,stix bunkjunker,mythic,9
bensbear,liberation of undermine,"mug'zee, heads of security",mythic,66
legoman,liberation of undermine,chrome king gallywix,heroic,2
hobbyalkis,liberation of undermine,cauldron of carnage,heroic,3
bensmonk,liberation of undermine,rik reverb,heroic,2
wyrvern,liberation of undermine,"mug'zee, heads of security",mythic,54
lobster,liberation of undermine,vexie and the geargrinders,mythic,2
jumzo,liberation of undermine,rik reverb,mythic,55
shanaiya,liberation of undermine,vexie and the geargrinders,mythic,2
glizzyrider,liberation of undermine,sprocketmonger lockenstock,heroic,2
