player_name,raid_name,boss_name,raid_difficulty,total_pulls
gordog,liberation of undermine,vexie and the geargrinders,heroic,1
garajamal,liberation of undermine,"mug'zee, heads of security",heroic,2
profesorpapi,liberation of undermine,vexie and the geargrinders,heroic,4
maddisonsian,liberation of undermine,rik reverb,heroic,1
heliuos,liberation of undermine,rik reverb,mythic,23
larssonadin,liberation of undermine,rik reverb,heroic,2
eroth,liberation of undermine,sprocketmonger lockenstock,mythic,52
bigboiples,liberation of undermine,stix bunkjunker,mythic,76
vinewhip,liberation of undermine,cauldron of carnage,mythic,2
explorer,liberation of undermine,cauldron of carnage,mythic,39
alexmae,liberation of undermine,vexie and the geargrinders,heroic,2
gazapatesi,liberation of undermine,"mug'zee, heads of security",mythic,50
budgetgoku,liberation of undermine,"mug'zee, heads of security",heroic,38
alcina,liberation of undermine,cauldron of carnage,mythic,1
yashopal,liberation of undermine,"mug'zee, heads of security",heroic,1
lenus,liberation of undermine,rik reverb,mythic,57
enarya,liberation of undermine,vexie and the geargrinders,heroic,1
anastase,liberation of undermine,one-armed bandit,mythic,48
willowwisp,liberation of undermine,chrome king gallywix,heroic,40
vinewhip,liberation of undermine,one-armed bandit,heroic,1
ashyminge,liberation of undermine,one-armed bandit,mythic,124
monstercow,liberation of undermine,chrome king gallywix,heroic,2
televisions,liberation of undermine,"mug'zee, heads of security",heroic,42
wanchan,liberation of undermine,vexie and the geargrinders,heroic,21
fortythree,liberation of undermine,vexie and the geargrinders,heroic,4
drottmonk,liberation of undermine,"mug'zee, heads of security",mythic,50
budgetgoku,liberation of undermine,one-armed bandit,mythic,172
bamoo,liberation of undermine,chrome king gallywix,heroic,7
larssonoker,liberation of undermine,"mug'zee, heads of security",heroic,1
yeviel,liberation of undermine,stix bunkjunker,mythic,78
slaybelle,liberation of undermine,vexie and the geargrinders,mythic,1
uglymilf,liberation of undermine,"mug'zee, heads of security",mythic,6
rabïd,liberation of undermine,one-armed bandit,heroic,2
shalash,liberation of undermine,"mug'zee, heads of security",heroic,2
oceanblvd,liberation of undermine,vexie and the geargrinders,heroic,1
alexmae,liberation of undermine,vexie and the geargrinders,mythic,2
naomivoke,liberation of undermine,vexie and the geargrinders,heroic,5
koriekin,liberation of undermine,sprocketmonger lockenstock,mythic,74
bamoo,liberation of undermine,cauldron of carnage,heroic,1
glizzyrider,liberation of undermine,chrome king gallywix,heroic,2
smonkste,liberation of undermine,vexie and the geargrinders,mythic,6
shalash,liberation of undermine,"mug'zee, heads of security",mythic,50
dankdemonh,liberation of undermine,vexie and the geargrinders,heroic,2
yeviel,liberation of undermine,sprocketmonger lockenstock,heroic,3
apocryphâ,liberation of undermine,"mug'zee, heads of security",heroic,1
shanaiya,liberation of undermine,sprocketmonger lockenstock,heroic,1
