report_id,report_date,player_class,player_name,damage_total,active_time,item_level,dps
jmpyLVFaKX8qvZD7,2025-06-11 Wed,monk,cutefist,2755440144,4367758,682,630859.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,shaman,rizzleton,15444155600,5400048,680,2860003.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,shaman,rizzleton,13488734764,4513626,679,2988448.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,mage,ashyminge,14076228267,5454776,678,2580533.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,demonhunter,enjiie,16078745101,5538660,683,2903003.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,mage,unrecorded,31185803064,10063766,680,3098820.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,shaman,rizzleton,14420594643,4795580,679,3007060.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,evoker,magicwingers,13800873012,5180306,683,2664104.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,mage,ashyminge,14976158769,5812841,678,2576392.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,rogue,hobbyalkis,15481051648,5861661,682,2641069.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,rogue,mægisk,15274321190,5173158,682,2952611.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,priest,televisions,1425654742,5562375,682,256303.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,priest,televisions,13413937220,4611727,678,2908658.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,warlock,pattern,11484998177,5107554,673,2248630.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,rogue,mægisk,15999680268,5576644,682,2869052.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,demonhunter,lenus,7798087904,4914364,678,1586795.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,paladin,budgetgoku,13799395604,10483056,681,1316352.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,paladin,delvur,13517531371,5537155,682,2441241.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,rogue,hobbyalkis,15487953038,5928239,680,2612572.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,paladin,explorer,13379624231,4730961,681,2828099.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,paladin,budgetgoku,7210848203,5620748,683,1282898.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,warrior,iustitiæ,27262037390,10242538,681,2661649.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,warlock,pattern,10846479098,4775062,667,2271484.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,druid,bigboiples,1447843556,9895382,679,146315.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,evoker,magicwingers,15689404518,8024840,680,1955105.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,paladin,budgetgoku,6811078451,5525700,683,1232618.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,shaman,rizzleton,15978079351,5718111,680,2794293.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,mage,wanchan,11686566730,4723077,675,2474354.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,druid,bigboiples,638407379,4516501,679,141350.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,warlock,pattern,11305550690,4824670,667,2343280.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,demonhunter,lenus,17418617156,11128314,676,1565252.0
