evaluated_at,catalog,schema,table_name,quality_check_type,status,downstream_impact,additional_debug_info,root_cause_analysis,error_message,table_lineage_link,slice_key,slice_value,reason,unhealthy_groups
2025-07-07 23:03:02.047169,03_gold,warcraftlogs,player_dps,Freshness,Unknown,,"{'commit_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'is_static': 'false', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None', 'from_backtesting': 'false'}, 'event_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None'}, '_internal': {'smart_scan_version': '1'}}",,Not enough update operations in table history (< 2 entries) for a valid forecast.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-07 23:03:02.047169,03_gold,warcraftlogs,player_dps,Completeness,Unknown,,"{'daily_row_count': {'actual_value': None, 'expectation': None, 'is_violated': 'Unknown', 'error_code': 'NOT_ENOUGH_TABLE_HISTORY', 'expectation_threshold': 'None'}, '_internal': {'smart_scan_version': '1'}}",,At least 7 days of table history is required to evaluate completeness.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-08 00:03:14.625692,03_gold,warcraftlogs,player_inting,Freshness,Unhealthy,"{'impact_level': 1.0, 'num_downstream_tables': 0.0, 'num_queries_on_affected_tables': 3.0}","{'commit_staleness': {'actual_value': '5 hr 16 min', 'expectation': 'actual_value < 4 hr 50 min', 'is_violated': 'true', 'error_code': 'None', 'is_static': 'false', 'actual_value_seconds': '18983', 'expectation_threshold_seconds': '17427', 'from_backtesting': 'false'}, '_internal': {'smart_scan_version': '1'}}",,,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_inting?activeTab=lineage,,,,
2025-07-08 00:03:14.624506,03_gold,warcraftlogs,player_dps,Freshness,Unknown,,"{'commit_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'is_static': 'false', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None', 'from_backtesting': 'false'}, 'event_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None'}, '_internal': {'smart_scan_version': '1'}}",,Not enough update operations in table history (< 2 entries) for a valid forecast.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-08 00:03:14.624506,03_gold,warcraftlogs,player_dps,Completeness,Unknown,,"{'daily_row_count': {'actual_value': None, 'expectation': None, 'is_violated': 'Unknown', 'error_code': 'NOT_ENOUGH_TABLE_HISTORY', 'expectation_threshold': 'None'}, '_internal': {'smart_scan_version': '1'}}",,At least 7 days of table history is required to evaluate completeness.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-08 00:03:14.625692,03_gold,warcraftlogs,player_inting,Completeness,Unknown,,"{'daily_row_count': {'actual_value': None, 'expectation': None, 'is_violated': 'Unknown', 'error_code': 'NOT_ENOUGH_TABLE_HISTORY', 'expectation_threshold': 'None'}, '_internal': {'smart_scan_version': '1'}}",,At least 7 days of table history is required to evaluate completeness.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_inting?activeTab=lineage,,,,
2025-07-08 01:02:24.152263,03_gold,warcraftlogs,player_inting,Freshness,Unhealthy,"{'impact_level': 1.0, 'num_downstream_tables': 0.0, 'num_queries_on_affected_tables': 3.0}","{'commit_staleness': {'actual_value': '6 hr 15 min', 'expectation': 'actual_value < 4 hr 50 min', 'is_violated': 'true', 'error_code': 'None', 'is_static': 'false', 'actual_value_seconds': '22533', 'expectation_threshold_seconds': '17427', 'from_backtesting': 'false'}, '_internal': {'smart_scan_version': '1'}}",,,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_inting?activeTab=lineage,,,,
2025-07-08 01:02:24.150978,03_gold,warcraftlogs,player_dps,Freshness,Unknown,,"{'commit_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'is_static': 'false', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None', 'from_backtesting': 'false'}, 'event_staleness': {'actual_value': 'N/A', 'expectation': 'N/A', 'is_violated': 'false', 'error_code': 'NOT_ENOUGH_UPDATE_OP', 'actual_value_seconds': 'None', 'expectation_threshold_seconds': 'None'}, '_internal': {'smart_scan_version': '1'}}",,Not enough update operations in table history (< 2 entries) for a valid forecast.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-08 01:02:24.150978,03_gold,warcraftlogs,player_dps,Completeness,Unknown,,"{'daily_row_count': {'actual_value': None, 'expectation': None, 'is_violated': 'Unknown', 'error_code': 'NOT_ENOUGH_TABLE_HISTORY', 'expectation_threshold': 'None'}, '_internal': {'smart_scan_version': '1'}}",,At least 7 days of table history is required to evaluate completeness.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_dps?activeTab=lineage,,,,
2025-07-08 01:02:24.152263,03_gold,warcraftlogs,player_inting,Completeness,Unknown,,"{'daily_row_count': {'actual_value': None, 'expectation': None, 'is_violated': 'Unknown', 'error_code': 'NOT_ENOUGH_TABLE_HISTORY', 'expectation_threshold': 'None'}, '_internal': {'smart_scan_version': '1'}}",,At least 7 days of table history is required to evaluate completeness.,https://dbc-4b3f5758-e807.cloud.databricks.com/explore/data/03_gold/warcraftlogs/player_inting?activeTab=lineage,,,,
